CASE#,DATE,BLOCK,CODE,CRIME_TYPE,SECONDARY,ARREST,LOCATION,DOMESTIC,BEAT,WARD,NIBRS
HW488605,"Wed, 09 Oct 2013 08:00:00",2600 W FARRAGUT AVE,610,BURGLARY,FORCIBLE ENTRY,N,APARTMENT,N,2011,40,5
HW474773,"Tue, 01 Oct 2013 08:45:00",2400 W FARRAGUT AVE,870,LARCENY - THEFT,POCKET-PICKING,N,CTA TRAIN,N,2011,40,6
HW485846,"Tue, 08 Oct 2013 09:00:00",5800 N LINCOLN AVE,820,LARCENY - THEFT,$500 AND UNDER,Y,"SCHOOL, PUBLIC, BUILDING",N,2011,40,6
HW479038,"Fri, 04 Oct 2013 00:30:00",5700 N MOZART ST,820,LARCENY - THEFT,$500 AND UNDER,N,STREET,N,2011,40,6
HW487280,"Thu, 10 Oct 2013 10:00:00",5300 N WESTERN AVE,820,LARCENY - THEFT,$500 AND UNDER,N,STREET,N,2011,40,6
HW477040,"Tue, 01 Oct 2013 21:00:00",2800 W FARRAGUT AVE,560,SIMPLE ASSAULT,SIMPLE,N,RESIDENCE,Y,2011,40,08A
HW484336,"Mon, 07 Oct 2013 21:30:00",2600 W CATALPA AVE,890,LARCENY - THEFT,FROM BUILDING,N,RESIDENCE,N,2011,40,6
HW491421,"Sat, 12 Oct 2013 20:15:00",5900 N WASHTENAW AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,N,STREET,N,2011,40,7
HW475720,"Tue, 01 Oct 2013 12:30:00",5200 N LINCOLN AVE,860,LARCENY - THEFT,RETAIL THEFT,N,GROCERY FOOD STORE,N,2011,40,6
HW481719,"Sun, 06 Oct 2013 04:30:00",5500 N LINCOLN AVE,820,LARCENY - THEFT,$500 AND UNDER,N,HOTEL/MOTEL,N,2011,40,6
HW493449,"Mon, 14 Oct 2013 23:00:00",5700 N WESTERN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,N,STREET,N,2011,40,7
HW492672,"Sat, 12 Oct 2013 10:00:00",1900 W FOSTER AVE,890,LARCENY - THEFT,FROM BUILDING,N,APARTMENT,N,2012,40,6
HW492123,"Sat, 12 Oct 2013 17:00:00",5900 N VIRGINIA AVE,820,LARCENY - THEFT,$500 AND UNDER,N,STREET,N,2011,40,6
HW490536,"Fri, 11 Oct 2013 23:00:00",5800 N MAPLEWOOD AVE,920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,N,STREET,N,2011,40,7
HW486340,"Wed, 09 Oct 2013 09:30:00",5300 N WESTERN AVE,810,LARCENY - THEFT,OVER $500,N,MEDICAL/DENTAL OFFICE,N,2011,40,6
HW483610,"Mon, 07 Oct 2013 00:01:00",2600 W BERWYN AVE,810,LARCENY - THEFT,OVER $500,N,STREET,N,2011,40,6
HW483833,"Mon, 07 Oct 2013 08:00:00",2600 W BERWYN AVE,820,LARCENY - THEFT,$500 AND UNDER,N,PARKING LOT/GARAGE(NON.RESID.),N,2011,40,6
HW492542,"Mon, 14 Oct 2013 13:50:00",5900 N WASHTENAW AVE,620,BURGLARY,UNLAWFUL ENTRY,N,APARTMENT,N,2011,40,5
HW487231,"Wed, 09 Oct 2013 12:30:00",5800 N LINCOLN AVE,820,LARCENY - THEFT,$500 AND UNDER,N,"SCHOOL, PUBLIC, BUILDING",N,2011,40,6
HW506634,"Wed, 09 Oct 2013 15:30:00",5800 N LINCOLN AVE,820,LARCENY - THEFT,$500 AND UNDER,N,SIDEWALK,N,2011,40,6
HW483896,"Mon, 07 Oct 2013 19:46:00",2700 W RASCHER AVE,560,SIMPLE ASSAULT,SIMPLE,Y,RESIDENTIAL YARD (FRONT/BACK),N,2011,40,08A
HW477818,"Thu, 03 Oct 2013 07:00:00",5600 N LINCOLN AVE,820,LARCENY - THEFT,$500 AND UNDER,N,STREET,N,2011,40,6
HW488966,"Fri, 11 Oct 2013 15:00:00",5200 N LINCOLN AVE,560,SIMPLE ASSAULT,SIMPLE,N,PARKING LOT/GARAGE(NON.RESID.),N,2011,40,08A
HW487584,"Thu, 10 Oct 2013 13:45:00",1900 W BALMORAL AVE,610,BURGLARY,FORCIBLE ENTRY,N,RESIDENCE,N,2012,40,5
HW481054,"Sat, 05 Oct 2013 14:15:00",5200 N LINCOLN AVE,820,LARCENY - THEFT,$500 AND UNDER,N,OTHER,N,2011,40,6
HW482737,"Mon, 07 Oct 2013 00:45:00",2400 W BERWYN AVE,620,BURGLARY,UNLAWFUL ENTRY,N,APARTMENT,N,2011,40,5
HW488766,"Fri, 04 Oct 2013 08:00:00",5400 N CAMPBELL AVE,840,LARCENY - THEFT,FINANCIAL ID THEFT: OVER $300,N,RESIDENCE,N,2011,40,6
